Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,clearing_price,closing_only_clearing_price,SSR_filling_price,condition_indicator,Bid,Ask
7/1/2026 9:11:53 AM,N,O,49831,19244,302.7,320,0,0,0,0,0
7/1/2026 9:11:56 AM,N,O,49786,19244,302.7,320,0,0,0,0,0
7/1/2026 9:11:58 AM,N,O,49811,19244,302.7,320,0,0,0,0,0
7/1/2026 9:12:00 AM,N,O,49791,19244,302.7,320,0,0,0,0,0
7/1/2026 9:12:01 AM,N,O,49796,19244,302.7,320,0,0,0,0,0
7/1/2026 9:12:02 AM,N,O,49806,19244,302.7,320,0,0,0,0,0
7/1/2026 9:12:03 AM,N,O,49805,19244,302.7,320,0,0,0,0,0
7/1/2026 9:12:08 AM,N,O,49955,19244,302.7,320,0,0,0,0,0
7/1/2026 9:12:10 AM,N,O,49930,19244,302.7,320,0,0,0,0,0
7/1/2026 9:12:12 AM,N,O,49910,19244,302.7,320,0,0,0,0,0
7/1/2026 9:12:13 AM,N,O,49914,19240,302.7,320,0,0,0,0,0
7/1/2026 9:12:19 AM,N,O,49852,19240,302.7,320,0,0,0,0,0
7/1/2026 9:12:24 AM,N,O,49841,19240,302.7,320,0,0,0,0,0
7/1/2026 9:12:26 AM,N,O,49641,19240,302.7,320,0,0,0,0,0
7/1/2026 9:12:34 AM,N,O,49621,19240,302.7,320,0,0,0,0,0
7/1/2026 9:12:35 AM,N,O,49852,19240,302.7,320,0,0,0,0,0
7/1/2026 9:12:42 AM,N,O,49865,19240,302.7,320,0,0,0,0,0
7/1/2026 9:12:44 AM,N,O,49990,19240,302.7,320,0,0,0,0,0
7/1/2026 9:12:48 AM,N,O,49993,19240,302.7,320,0,0,0,0,0
7/1/2026 9:12:51 AM,N,O,49951,19282,302.7,320,0,0,0,0,0
7/1/2026 9:12:55 AM,N,O,49961,19282,302.7,320,0,0,0,0,0
7/1/2026 9:13:09 AM,N,O,50003,19240,302.7,320,0,0,0,0,0
7/1/2026 9:13:10 AM,N,O,49978,19240,302.7,320,0,0,0,0,0
7/1/2026 9:13:11 AM,N,O,49988,19240,302.7,320,0,0,0,0,0
7/1/2026 9:13:14 AM,N,O,50019,19240,302.7,320,0,0,0,0,0
7/1/2026 9:13:15 AM,N,O,50033,19241,302.7,320,0,0,0,0,0
7/1/2026 9:13:20 AM,N,O,50064,19241,302.7,320,0,0,0,0,0
7/1/2026 9:13:21 AM,N,O,49909,19241,302.7,320,0,0,0,0,0
7/1/2026 9:13:24 AM,N,O,49868,19282,302.7,320,0,0,0,0,0
7/1/2026 9:13:25 AM,N,O,49838,19282,302.7,320,0,0,0,0,0
7/1/2026 9:13:27 AM,N,O,49840,19282,302.7,320,0,0,0,0,0
7/1/2026 9:13:31 AM,N,O,49829,19282,302.7,320,0,0,0,0,0
